date,p,n
2025-08-27,0.2,
2025-09-03,0.215,
2025-09-10,0.21,
2025-09-17,0.225,
2025-09-24,0.245,
2025-10-01,0.155,
2025-10-08,0.135,
2025-10-15,0.12,
2025-10-22,0.135,
2025-10-29,0.11,
2025-11-05,0.105,
2025-11-12,0.1,
2025-11-19,0.1,
2025-11-26,0.095,
2025-12-03,0.105,
2025-12-10,0.105,
2025-12-17,0.105,
2025-12-24,0.125,
2025-12-31,0.09,
2026-01-07,0.09,
2026-01-14,0.095,
2026-01-21,0.105,
2026-01-28,0.085,
2026-02-04,0.125,
2026-02-11,0.125,
2026-02-18,0.135,
2026-02-25,0.125,
2026-03-04,0.145,
2026-03-11,0.17,
2026-03-18,0.155,
2026-03-25,0.175,
2026-04-01,0.174,
2026-04-08,0.21,
2026-04-15,0.116,
2026-04-22,0.131,
2026-04-29,0.113,
2026-05-06,0.084,
2026-05-13,0.077,
2026-05-20,0.082,
2026-05-27,0.085,
2026-06-03,0.081,
2026-06-10,0.081,
2026-06-17,0.056,
2026-06-24,0.093,
2026-07-01,0.088,
2026-07-08,0.072,
2026-07-15,0.054,
2026-07-22,0.067,
2026-07-29,0.069,
2026-08-05,0.061,
2026-08-12,0.075,
2026-08-19,0.076,
2026-08-26,0.077,
2026-09-02,0.152,
2026-09-09,0.289,
2026-09-16,0.13,
2026-09-23,0.167,
2026-09-24,0.168,346500
2026-09-25,0.159,346649.16
2026-09-26,0.1745,346652.16
