date,p,n
2019-01-30,0.35,
2019-02-22,0.8,
2019-05-30,0.8,
2019-06-22,0.73,
2019-07-28,0.73,
2019-08-21,0.8,
2019-09-21,0.8,
2019-10-20,0.49,
2019-12-12,0.65,
2020-01-31,0.49,
2020-02-14,0.65,
2020-03-20,0.61,
2020-04-26,0.58,
2020-05-24,0.55,
2020-06-19,0.55,
2020-07-24,0.58,
2020-09-18,0.58,
2020-10-28,0.66,
2020-12-10,0.66,
2021-01-29,0.55,
2021-02-11,0.51,
2021-04-26,0.51,
2021-05-29,0.57,
2021-06-16,0.6,
2021-08-24,0.6,
2021-11-26,0.66,
2021-12-30,0.75,
2022-01-23,0.67,
2022-04-16,0.67,
2022-05-30,0.6,
2022-07-30,0.6,
2022-08-31,0.75,
2022-09-21,0.75,
2022-10-22,0.7,
2022-11-09,0.61,
2022-12-28,0.7,
2023-01-29,0.677,
2023-02-19,0.7,
2023-03-30,0.68,
2023-04-28,0.7,
2023-05-30,0.68,
2023-06-26,0.68,
2023-07-21,0.7,
2023-08-28,0.68,
2023-09-26,0.68,
2023-10-28,0.7,
2023-11-28,0.7,
2023-12-26,0.68,
2024-02-29,0.68,
2024-03-28,0.67,
2024-04-25,0.65,
2024-05-30,0.63,
2024-06-13,0.6,
2024-07-29,0.55,
2024-08-24,0.61,
2024-09-03,0.65,
2024-10-26,0.68,
2024-11-10,0.57,
2024-12-27,0.583,
2025-01-31,0.55,
2025-02-25,0.5,
2025-03-25,0.45,
2025-04-30,0.33,
2025-05-16,0.2,
2025-06-22,0.22,
2025-07-24,0.25,
2025-08-31,0.24,
2025-09-21,0.2,
2025-09-29,0.2,
2025-10-08,0.25,
2025-10-14,0.25,
2025-10-23,0.3,
2026-01-25,0.3,
2026-01-29,0.32,
2026-02-05,0.3,
2026-02-14,0.26,
2026-02-21,0.3,
2026-02-27,0.3,
2026-03-08,0.26,
2026-03-16,0.3,
2026-05-07,0.3,
2026-05-16,0.26,
2026-05-22,0.3,
2026-07-04,0.3,
2026-07-14,0.26,
2026-07-20,0.25,
2026-07-28,0.3,
2026-08-04,0.3,
2026-08-12,0.26,
2026-08-18,0.3,
2026-09-24,0.3,337
