date,p,n
2023-05-11,0.2,
2023-05-18,0.21,
2023-05-25,0.204,
2023-06-01,0.215,
2023-06-08,0.244,
2023-06-15,0.23,
2023-06-22,0.19,
2023-06-29,0.19,
2023-07-06,0.193,
2023-07-13,0.2,
2023-07-20,0.17,
2023-07-27,0.17,
2023-08-03,0.156,
2023-08-10,0.155,
2023-08-17,0.11,
2023-08-24,0.114,
2023-08-31,0.114,
2023-09-07,0.097,
2023-09-14,0.091,
2023-09-21,0.093,
2023-09-28,0.086,
2023-10-05,0.081,
2023-10-12,0.06,
2023-10-19,0.054,
2023-10-26,0.046,
2023-11-02,0.05,
2023-11-09,0.041,
2023-11-16,0.04,
2023-11-23,0.052,
2023-11-30,0.041,
2023-12-07,0.044,
2023-12-14,0.042,
2023-12-21,0.04,
2023-12-28,0.041,
2024-01-04,0.04,
2024-01-11,0.04,
2024-01-18,0.041,
2024-01-25,0.045,
2024-02-01,0.047,
2024-02-08,0.045,
2024-02-15,0.04,
2024-02-22,0.035,
2024-02-29,0.048,
2024-03-07,0.034,
2024-03-14,0.031,
2024-03-21,0.033,
2024-03-28,0.032,
2024-04-04,0.033,
2024-04-11,0.033,
2024-04-18,0.032,
2024-04-25,0.061,
2024-05-02,0.047,
2024-05-09,0.037,
2024-05-16,0.039,
2024-05-23,0.069,
2024-05-30,0.042,
2024-06-06,0.051,
2024-06-13,0.051,
2024-06-20,0.07,
2024-06-27,0.06,
2024-07-04,0.059,
2024-07-11,0.059,
2024-07-18,0.07,
2024-07-25,0.062,
2024-08-01,0.06,
2024-08-08,0.066,
2024-08-15,0.057,
2024-08-22,0.054,
2024-08-29,0.054,
2024-09-05,0.062,
2024-09-12,0.06,
2024-09-19,0.06,
2024-09-26,0.07,
2024-10-03,0.07,
2024-10-10,0.07,
2024-10-17,0.066,
2024-10-24,0.061,
2024-10-31,0.071,
2024-11-07,0.074,
2024-11-14,0.076,
2024-11-21,0.07,
2024-11-28,0.07,
2024-12-05,0.067,
2024-12-12,0.056,
2024-12-19,0.05,
2024-12-26,0.056,
2025-01-02,0.056,
2025-01-09,0.056,
2025-01-16,0.044,
2025-01-23,0.056,
2025-01-30,0.053,
2025-02-06,0.056,
2025-02-13,0.05,
2025-02-20,0.045,
2025-02-27,0.04,
2025-03-06,0.035,
2025-03-13,0.035,
2025-03-20,0.035,
2025-03-27,0.032,
2025-04-03,0.032,
2025-04-10,0.03,
2025-04-17,0.03,
2025-04-24,0.04,
2025-05-01,0.04,
2025-05-08,0.04,
2025-05-15,0.037,
2025-05-22,0.037,
2025-05-29,0.037,
2025-06-05,0.04,
2025-06-12,0.048,
2025-06-19,0.048,
2025-06-26,0.048,
2025-07-03,0.048,
2025-07-10,0.047,
2025-07-17,0.047,
2025-07-24,0.049,
2025-07-31,0.046,
2025-08-07,0.047,
2025-08-14,0.03,
2025-08-21,0.031,
2025-08-28,0.031,
2025-09-04,0.031,
2025-09-11,0.031,
2025-09-18,0.035,
2025-09-25,0.035,
2025-10-02,0.035,
2025-10-09,0.04,
2025-10-16,0.04,
2025-10-23,0.04,
2025-10-30,0.043,
2025-11-06,0.043,
2025-11-13,0.041,
2025-11-20,0.046,
2025-11-27,0.046,
2025-12-04,0.046,
2025-12-11,0.046,
2025-12-18,0.046,
2025-12-25,0.041,
2026-01-01,0.046,
2026-01-08,0.046,
2026-01-15,0.046,
2026-01-22,0.043,
2026-01-29,0.043,
2026-02-05,0.043,
2026-02-12,0.05,
2026-02-19,0.054,
2026-02-26,0.05,
2026-03-05,0.05,
2026-03-12,0.058,
2026-03-19,0.055,
2026-03-26,0.056,
2026-04-02,0.053,
2026-04-09,0.055,
2026-04-16,0.055,
2026-04-23,0.055,
2026-04-30,0.056,
2026-05-07,0.057,
2026-05-14,0.057,
2026-05-21,0.05,
2026-05-28,0.059,
2026-06-04,0.059,
2026-06-11,0.059,
2026-06-18,0.059,
2026-06-25,0.059,
2026-07-02,0.055,
2026-07-09,0.046,
2026-07-16,0.049,
2026-07-23,0.045,
2026-07-30,0.045,
2026-08-06,0.04,
2026-08-13,0.04,
2026-08-20,0.04,
2026-08-27,0.04,
2026-09-03,0.046,
2026-09-10,0.046,
2026-09-17,0.05,
2026-09-24,0.055,1126
