date,p,n
2019-02-17,0.35,
2019-03-29,0.39,
2019-04-27,0.35,
2019-05-16,0.38,
2019-06-22,0.34,
2019-07-21,0.38,
2019-08-28,0.38,
2019-09-23,0.44,
2019-10-29,0.38,
2019-11-23,0.38,
2019-12-15,0.39,
2020-01-25,0.43,
2020-03-31,0.38,
2020-05-03,0.38,
2020-06-27,0.36,
2020-09-30,0.36,
2020-10-26,0.4,
2020-11-17,0.39,
2020-12-15,0.36,
2021-01-29,0.39,
2021-02-22,0.41,
2021-04-07,0.41,
2021-05-23,0.37,
2021-06-28,0.37,
2021-07-19,0.35,
2022-01-29,0.35,
2022-02-23,0.39,
2022-04-27,0.39,
2022-05-21,0.37,
2022-10-24,0.37,
2022-11-28,0.36,
2022-12-29,0.35,
2023-01-14,0.35,
2023-02-25,0.36,
2023-04-23,0.36,
2023-05-30,0.35,
2023-06-21,0.35,
2023-07-21,0.33,
2023-08-19,0.34,
2024-06-13,0.34,
2024-07-29,0.32,
2024-12-09,0.32,
2025-01-02,0.3,
2025-07-29,0.3,
2025-08-29,0.25,
2025-10-23,0.25,
2025-11-05,0.24,
2026-04-23,0.24,
2026-05-06,0.25,
2026-07-15,0.25,
2026-07-22,0.3,
2026-07-29,0.25,
2026-09-24,0.25,162
