date,p,n
2017-11-24,0.01,
2020-04-24,0.01,
2020-05-26,0.02,
2020-06-18,0.02,
2020-07-26,0.03,
2020-08-29,0.01,
2020-09-27,0.03,
2020-10-30,0.01,
2021-08-26,0.01,
2021-09-29,0.02,
2021-10-23,0.03,
2021-11-26,0.02,
2021-12-28,0.03,
2022-01-31,0.01,
2022-03-26,0.01,
2022-04-29,0.02,
2022-08-31,0.02,
2022-09-21,0.03,
2022-12-07,0.03,
2023-01-26,0.04,
2023-02-25,0.02,
2023-06-26,0.02,
2023-07-31,0.01,
2023-08-22,0.01,
2023-09-23,0.014,
2023-10-29,0.014,
2023-11-29,0.01,
2023-12-24,0.01,
2024-01-24,0.014,
2024-02-16,0.02,
2024-03-20,0.01,
2024-08-22,0.01,
2024-09-27,0.012,
2024-10-29,0.01,
2024-11-20,0.014,
2024-12-25,0.01,
2025-01-25,0.01,
2025-02-28,0.005,
2025-03-22,0.006,
2025-04-26,0.01,
2025-05-30,0.002,
2025-06-20,0.002,
2025-07-25,0.005,
2025-08-25,0.01,
2026-03-15,0.01,
2026-03-26,0.02,
2026-04-06,0.01,
2026-04-29,0.01,
2026-05-10,0.02,
2026-05-22,0.01,
2026-06-01,0.02,
2026-09-16,0.02,
2026-09-23,0.025,
2026-09-24,0.025,1728
