date,p,n
2021-09-30,0.45,
2021-10-10,0.5,
2021-11-29,0.5,
2021-12-17,0.67,
2022-02-13,0.67,
2022-03-09,0.63,
2022-05-14,0.63,
2022-06-21,0.62,
2022-07-14,0.59,
2022-09-19,0.59,
2022-10-07,0.564,
2022-11-06,0.54,
2022-12-13,0.582,
2023-02-25,0.65,
2023-03-26,0.72,
2023-04-26,0.8,
2023-05-27,0.85,
2023-06-30,0.85,
2023-07-29,0.84,
2023-08-28,0.85,
2023-09-30,0.84,
2023-10-26,0.82,
2023-11-28,0.85,
2023-12-20,0.86,
2024-01-28,0.85,
2024-02-28,0.82,
2024-03-25,0.8,
2024-07-31,0.8,
2024-08-24,0.77,
2024-09-06,0.75,
2024-10-23,0.75,
2024-11-29,0.8,
2026-03-06,0.8,
2026-03-16,0.85,
2026-03-25,0.85,
2026-03-29,0.8,
2026-06-27,0.8,
2026-07-05,0.76,
2026-07-24,0.76,
2026-08-03,0.8,
2026-08-12,0.85,
2026-09-24,0.85,151
