date,p,n
2018-10-31,0.24,
2018-11-07,0.24,
2018-12-26,0.3,
2019-01-31,0.28,
2019-02-22,0.3,
2019-03-19,0.28,
2019-04-12,0.28,
2019-05-30,0.25,
2019-06-25,0.24,
2019-07-03,0.28,
2019-08-21,0.3,
2019-09-21,0.28,
2019-10-15,0.25,
2019-11-30,0.25,
2019-12-31,0.24,
2020-01-25,0.24,
2020-02-25,0.21,
2020-03-30,0.2,
2020-04-26,0.23,
2020-06-25,0.23,
2020-07-30,0.21,
2020-08-20,0.23,
2020-11-17,0.23,
2020-12-05,0.25,
2021-01-29,0.21,
2021-02-16,0.2,
2021-03-24,0.22,
2021-04-26,0.22,
2021-05-30,0.2,
2021-06-16,0.2,
2021-07-22,0.23,
2021-08-22,0.23,
2021-09-07,0.22,
2021-10-07,0.23,
2021-11-27,0.24,
2021-12-31,0.2,
2022-02-25,0.2,
2022-03-17,0.23,
2022-04-28,0.19,
2022-05-27,0.2,
2022-06-27,0.2,
2022-07-30,0.24,
2022-08-23,0.25,
2022-09-21,0.3,
2022-10-21,0.32,
2022-11-06,0.32,
2022-12-28,0.344,
2023-01-24,0.33,
2023-02-27,0.41,
2023-03-31,0.43,
2023-04-25,0.46,
2023-06-20,0.46,
2023-07-22,0.4,
2023-08-20,0.4,
2023-09-18,0.34,
2023-10-30,0.34,
2023-11-30,0.33,
2023-12-29,0.35,
2024-01-30,0.4,
2024-03-27,0.4,
2024-04-25,0.36,
2024-05-27,0.4,
2024-06-13,0.4,
2024-07-31,0.33,
2024-08-30,0.333,
2024-09-14,0.35,
2024-10-26,0.369,
2024-11-20,0.369,
2024-12-27,0.4,
2025-01-31,0.4,
2025-02-20,0.369,
2025-03-25,0.3,
2025-04-27,0.32,
2025-05-29,0.3,
2025-06-28,0.27,
2025-07-29,0.27,
2025-08-28,0.25,
2025-09-20,0.25,
2025-09-28,0.27,
2025-10-15,0.27,
2025-10-27,0.28,
2025-11-09,0.28,
2025-11-16,0.3,
2025-12-26,0.3,
2026-01-07,0.28,
2026-01-29,0.28,
2026-02-05,0.27,
2026-02-15,0.28,
2026-03-01,0.25,
2026-03-10,0.3,
2026-04-07,0.3,
2026-04-14,0.28,
2026-05-07,0.28,
2026-05-16,0.25,
2026-06-03,0.25,
2026-06-26,0.24,
2026-07-04,0.25,
2026-07-20,0.25,
2026-07-29,0.28,
2026-08-05,0.28,
2026-08-12,0.3,
2026-08-17,0.28,
2026-08-25,0.3,
2026-09-13,0.3,
2026-09-23,0.4,
2026-09-24,0.43,475
