date,p,n
2018-10-28,0.2,
2018-11-19,0.2,
2018-12-19,0.24,
2019-01-26,0.25,
2019-02-25,0.25,
2019-03-25,0.34,
2019-04-15,0.35,
2019-05-30,0.38,
2019-06-18,0.38,
2019-08-26,0.3,
2019-09-21,0.35,
2019-10-20,0.37,
2019-11-06,0.35,
2019-12-31,0.3,
2020-01-25,0.26,
2020-02-08,0.25,
2020-03-25,0.25,
2020-04-21,0.3,
2020-05-24,0.3,
2020-06-25,0.26,
2020-07-08,0.32,
2020-08-15,0.33,
2020-09-06,0.34,
2020-10-23,0.33,
2020-11-18,0.3,
2020-12-29,0.27,
2021-01-29,0.25,
2021-02-14,0.25,
2021-03-18,0.24,
2021-04-26,0.24,
2021-05-29,0.22,
2021-07-16,0.25,
2021-08-27,0.22,
2021-09-29,0.22,
2021-10-15,0.2,
2021-11-27,0.2,
2021-12-29,0.25,
2022-01-28,0.3,
2022-04-27,0.3,
2022-05-27,0.27,
2022-06-27,0.31,
2022-07-27,0.37,
2022-08-23,0.32,
2022-09-27,0.325,
2022-10-29,0.33,
2022-11-09,0.345,
2022-12-28,0.35,
2023-01-28,0.35,
2023-02-24,0.345,
2023-03-29,0.36,
2023-04-28,0.38,
2023-05-30,0.38,
2023-06-27,0.36,
2023-07-17,0.38,
2023-08-27,0.36,
2023-10-27,0.36,
2023-11-29,0.38,
2023-12-31,0.37,
2024-01-31,0.36,
2024-02-15,0.36,
2024-03-27,0.33,
2024-04-25,0.32,
2024-05-25,0.32,
2024-06-28,0.35,
2024-07-29,0.28,
2024-08-27,0.3,
2024-10-24,0.3,
2024-11-28,0.36,
2024-12-30,0.33,
2025-01-27,0.32,
2025-02-28,0.35,
2025-03-30,0.36,
2025-04-28,0.35,
2025-09-21,0.35,
2025-09-26,0.33,
2025-10-03,0.33,
2025-10-19,0.35,
2026-01-28,0.35,
2026-02-04,0.36,
2026-02-25,0.36,
2026-03-05,0.39,
2026-03-12,0.4,
2026-05-08,0.4,
2026-06-10,0.36,
2026-08-11,0.36,
2026-08-31,0.39,
2026-09-13,0.39,
2026-09-23,0.4,
2026-09-24,0.4,429
