date,p,n
2025-07-16,0.25,
2025-07-23,0.255,
2025-07-30,0.395,
2025-08-06,0.43,
2025-08-13,0.415,
2025-08-20,0.455,
2025-08-27,0.395,
2025-09-03,0.385,
2025-09-10,0.42,
2025-09-17,0.41,
2025-09-24,0.405,
2025-10-01,0.34,
2025-10-08,0.33,
2025-10-15,0.26,
2025-10-22,0.255,
2025-10-29,0.19,
2025-11-05,0.18,
2025-11-12,0.19,
2025-11-19,0.235,
2025-11-26,0.22,
2025-12-03,0.22,
2025-12-10,0.22,
2025-12-17,0.235,
2025-12-24,0.24,
2025-12-31,0.21,
2026-01-07,0.195,
2026-01-14,0.215,
2026-01-21,0.225,
2026-01-28,0.22,
2026-02-04,0.245,
2026-02-11,0.245,
2026-02-18,0.26,
2026-02-25,0.305,
2026-03-04,0.275,
2026-03-11,0.285,
2026-03-18,0.32,
2026-03-25,0.326,
2026-04-01,0.36,
2026-04-08,0.451,
2026-04-15,0.427,
2026-04-22,0.394,
2026-04-29,0.389,
2026-05-06,0.305,
2026-05-13,0.307,
2026-05-20,0.346,
2026-05-27,0.308,
2026-06-03,0.286,
2026-06-10,0.307,
2026-06-17,0.287,
2026-06-24,0.288,
2026-07-01,0.259,
2026-07-08,0.215,
2026-07-15,0.203,
2026-07-22,0.206,
2026-07-29,0.19,
2026-08-05,0.192,
2026-08-12,0.183,
2026-08-19,0.2,
2026-08-26,0.19,
2026-09-02,0.353,
2026-09-09,0.705,
2026-09-16,0.399,
2026-09-23,0.51,
2026-09-24,0.5,289972
2026-09-25,0.4905,290079.35
2026-09-26,0.4525,290779.35
